# Constructed from biom file
#OTU ID	SRR11851974	SRR11851975	SRR11851978	SRR11851989	SRR11852000	SRR11852011	SRR11852022	SRR11852033	SRR11852036	SRR11852037	SRR11852038	SRR11852039	SRR11852040	SRR11852041	SRR11852042	SRR11852043	SRR11852044	SRR11852045
fe40470582bfbb78de376fb9d2286cd4	33.0	0.0	36.0	0.0	15.0	0.0	30.0	22.0	34.0	24.0	11.0	18.0	39.0	32.0	28.0	0.0	0.0	13.0
38aae6237744de7ab9713b77e068f314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	21.0	0.0	0.0	24.0	0.0	0.0	22.0	31.0	0.0
9feecccc04825faa3deb4c842cbff1b4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
dd9fe5a38436132c3bed8e149a2ab48f	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1cca52347843e1fe158272efbbdf8e81	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
186b552d81aa5d2fb49b4e3dc80861e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
05a0236294fee728d4743da1188cfaed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4aebd9aaf66b1cab89f0b0b63452b68c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
39d629b88269197e48b47371866d9ca2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	66.0
d39a92833d9fb207fb7cc27392a991af	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ac5e1e358abf0ecd0348d24e99ffb9b3	0.0	0.0	13.0	0.0	0.0	0.0	17.0	0.0	18.0	0.0	0.0	0.0	33.0	19.0	0.0	0.0	0.0	0.0
57016bbbfef4bcb5d92def12943453fb	0.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8661dec59b623ee4d06102451c29c0e7	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
f86b77e83503d7ba7cdac4e07793a7a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c17cbdbdb4ebcfce7abcf44059042ec1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bb0667b23f34d294f52fc9192e14bb08	7.0	0.0	15.0	14.0	0.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
044ce7c42d9989e3cf492ff3c5b5cf09	6.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eb4ab670535b7adc236b44676420c740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
