# Constructed from biom file
#OTU ID	SRR11852016	SRR11852017	SRR11852018	SRR11852019	SRR11852020	SRR11852021	SRR11852023	SRR11852024	SRR11852025	SRR11852026	SRR11852027	SRR11852028	SRR11852029	SRR11852030	SRR11852032	SRR11852034	SRR11852035
9c26fe3aea35521dabfd4ab2b858affc	10.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7e532f3dbcfd30d6f79b91a727893430	0.0	9.0	0.0	7.0	0.0	0.0	20.0	23.0	0.0	18.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
2aa8fddd406820f509d167f70b681212	58.0	33.0	36.0	41.0	56.0	47.0	63.0	60.0	38.0	81.0	53.0	54.0	54.0	46.0	41.0	42.0	0.0
7c4e28d32cc004c568b8842210113727	32.0	42.0	0.0	0.0	0.0	41.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1de1fed418906e484876e6868031e617	0.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	10.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
65771c939f4f77ad8ef4a841c695ac20	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50e7573ec8f3620e75bd48b8a204bb77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c02dba141fe0b52f55c6433ff6ae2571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0
e34cd38087e8d9da7ba1c7e3043e5ebf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
657e3fb12973526ff3b8af1b67c128da	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	41.0	0.0	0.0
d8dc351d8e1b1702fb8babdf55dc92f8	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f9e5f9f4d16a8b1a7b59e9fd2dd1f934	0.0	0.0	55.0	90.0	0.0	0.0	79.0	92.0	0.0	61.0	0.0	56.0	0.0	72.0	0.0	79.0	0.0
9b857b537ad50bcdd2ba504a0824b8ea	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29d3cfb7a7c3a4d86f909faecf7320f6	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9a2b7568900a23b8f23c101169c8668b	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a3b144eaf0eb59073b54c1a38faa901f	0.0	0.0	25.0	33.0	61.0	42.0	53.0	38.0	44.0	35.0	43.0	43.0	25.0	30.0	0.0	0.0	0.0
86f307878f60f725a9c26a83b6e3e610	0.0	37.0	0.0	0.0	0.0	31.0	45.0	35.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0
ad1eda88addad9695bff873475243b89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
80ab2373097d9c37a7f1520b77f16302	0.0	10.0	51.0	0.0	5.0	6.0	5.0	14.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	3.0	0.0
7229270dcced19518d3b7f450dc778c4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
